name,entrez_id
ALK,238
AKT1,207
ARAF,369
ABL1,25
BRAF,673
BRCA1,672
BRCA2,675
CCND1,595
CCND2,894
CCND3,896
CCNE1,898
CDK6,1021
CDK4,1019
CDKN2A,1029
CEBPA,1050
PRKACA,5566
DNMT3A,1788
EGFR,1956
ERBB2,2064
ESR1,2099
FGFR2,2263
FGFR3,2261
FLT3,2322
GATA2,2624
IDH1,3417
IDH2,3418
JAK2,3717
KIT,3815
KRAS,3845
MAP2K1,5604
MEF2D,4209
CSF1R,1436
MGMT,4255
NPM1,4869
NRAS,4893
PIK3CA,5290
PDGFRA,5156
PML,5371
PTEN,5728
RET,5979
RUNX1,861
SF3B1,23451
TP53,7157
TSC1,7248
TSC2,7249
U2AF1,7307
WT1,7490
NOTCH1,4851
DDR2,4921
MET,4233
FLI1,2313
EWSR1,2130
TET2,54790
FOXP1,27086
REL,5966
VHL,7428
BCL2,596
IGF2,3481
AURKA,6790
PBRM1,55193
EZH2,2146
KMT2D,8085
BTK,695
APC,324
AR,367
ASXL1,171023
ATM,472
BAP1,8314
ERG,2078
FOXL2,668
IKZF1,10320
NCOA3,8202
PAX8,7849
PGR,5241
SMAD4,4089
SMARCA4,6597
TERT,7015
TTF1,7270
ABL2,27
ACTA1,58
ACTL6A,86
ACVR1,90
PARP1,142
AEBP1,165
AKT2,208
ALCAM,214
BIRC3,330
BIRC5,332
AREG,374
RHOA,387
ASCL1,429
ASNS,440
ASS1,445
ATR,545
ATRX,546
AXL,558
B2M,567
BARD1,580
BAX,581
BCL6,604
TNFRSF17,608
CEACAM1,634
PRDM1,639
BLK,640
KLF5,688
CALR,811
CASP8,841
CBFA2T3,863
CBFB,865
CBL,867
CBLB,868
CD19,930
MS4A1,931
CD44,960
CD79B,974
CDH1,999
CDK2,1017
CDK5,1020
CDK9,1025
CDKN1A,1026
CDKN1B,1027
CDKN2B,1030
CDX2,1045
CHEK1,1111
MAP3K8,1326
CREBBP,1387
CRKL,1399
CSF1,1435
